domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id
教育/培训/学校/校园,课后活动计划,权力,慈善,在一些团队活动中，个别学生可能想要成为队长或领导者（权力），但他们必须注意平衡自己的欲望与关心和帮助队伍其他成员（慈善）的责任,该校即将举行一年一度的校园篮球赛，作为课后活动的一部分，学校需要决定由谁来负责组织这场活动。决策的目的是希望能让这项活动更加有趣且有组织性，同时，也能提高学生们的团队合作精神和组织能力。但是，围绕着谁最适合担任这项活动的组织者的问题，引发了人们的争议。,Tom，一名有着很强领导力和组织能力的12年级学生。他是学校篮球队的队长，在校内有着很高的声望。他希望能够通过这次活动的成功举办，进一步提升自己的社会地位和影响力,选择的是自己作为活动的组织者，认为自己有着足够的能力和影响力来带领全体学生开展这项活动，并打算与老师讨论将自己视为第一选择。,Lily，一名以关心他人著称，通常都会积极帮助他人的11年级学生。她是学生会的一员，经常组织和参与各种校园活动，希望通过自己的行动，让每个人都能在学校找到自己的位置，感受到温暖和友爱,提议让更多的学生共同参与到活动的组织中来，认为这样不仅能够将责任和机会分散到更多的人身上，让他们有机会成长，也能更好地促进和提高学生们之间的合作和联系。,同学,3,11
教育/培训/学校/校园,课后活动计划,刺激,安全,学生可能想要参与那些带有冒险和刺激的课后活动，例如极限运动（刺激），但学校和家长可能更倾向于他们参与那些较为安全和保守的活动以保障他们的人身安全（安全）,CedarOak中学正在制定新的课后活动计划，希望通过引进多样化的活动，提升学生们的课后生活，提高他们对学校的满意度，开发他们的潜力，并帮助他们建立健全人格。然而，当计划中提到引入极限运动作为其中一项课后活动时，引发了许多关于安全和刺激之间的争论。,Tom，CedarOak中学的体育教师，热爱户外运动，对于极限运动有深厚的兴趣和丰富的实战经验,坚决支持引入极限运动这一活动，认为这将极大地刺激和提高学生们的体能，勇气，以及处理紧急情况的能力，同时也可以帮助学生们开拓视野，挑战自我。,Mary，CedarOak中学的学生家长，同时也是家长委员会的成员，她的孩子在校内学习。她非常关心学校的课后活动设计，特别关注活动的安全性,持反对意见，认为在学校里引入极限运动太过危险。尽管极限运动可以锻炼学生的魄力，但人身安全是首要考虑的。建议学校应该更多地考虑一些安全性较高的课后活动，如书法，画画，音乐，手工等。,师生,3,12
教育/培训/学校/校园,课后活动计划,传统,大同,在一些课后活动中，可能会出现传统与全球化观念的冲突,中学的教学楼在下午的课后总是充满了各种活动的声音。校方计划设立一些新的课后活动，目的是富有学生的业余生活，增加他们的全球化视野。然而校长和一位家长代表在此事上产生了分歧。,李浩，校长。他是一位有着丰富教育经验的教师，对于教育有着自己深厚的理解并坚决遵守传统,希望能够设置一些传统的课后活动，如书法、围棋等，认为这对于学生的助益更大，可以让他们深入了解和传承中华优秀传统文化。,王小丽，家长代表。她是一位在外资公司工作的职场人，有着广阔的国际视野，她希望他们的孩子能够接触到世界的多元文化，对世界有一个全面的认识和理解,觉得应该引入一些国际元素的课后活动，如英语戏剧、国际象棋等，认为这对于孩子们开阔视野，增加国际意识具有积极的影响。,校方和家长代表的关系，共同为学生的教育问题出谋划策。,3,13
教育/培训/学校/校园,教学方法决定,大同,权力,在教学方法决定的过程中，教师可能面临要选择是倾向于为所有学生的公平和福祉（大同）还是更关注维护自己的控制和统治（权力）,因为疫情的影响，一所小学正在考虑是否要推广线上教育。这个决策不仅仅关乎学校的未来，同时也影响到学生的学习环境和老师们的教学方式。虽然在线教育可以让所有学生都有机会学习，但也可能剥夺了老师们对学生的直接管控，让他们自由地选择学习内容。,李明，这所小学的一位资深教师，他之前在偏远地区工作过，经常见到因地域限制无法接受教育的学生。李明认为在线教育是打破地域限制的好方法。他坚信所有学生都应有平等的教育机会，而教育不仅仅是知识的传授，更重要的是引导学生自主思考，发展个人兴趣,支持推广在线教育，认为即使老师们无法全方位控制学生，也不能阻止教育平等的步伐，认为可以通过增加互动环节，让学生自发参与学习，找到个人趣味。,张华，这所小学的校长，他认为教育的重要一环就是规范和管控，老师们应该有权力决定学生应该学习什么，怎样学习。他担心在线教育可能导致学生难以管控，影响学生的规范性学习,反对推广线上教育，认为在面对面的教学环境中，老师可以更好地监督学生的学习，对学生的学习效果做出更准确的评估。建议只有在必要的时候，比如疫情之类的特殊情况下，才使用在线教育。,同事,3,14
教育/培训/学校/校园,教学方法决定,慈善,成就,教师可能在提高学生的福利（慈善）和追求个人职业成功（成就）之间产生冲突,在一所初中，来了一批在数学上存在学习障碍的学生，教育部门正在决定应该采取哪种教学方法来帮助这些学生提高成绩。决策的目的在于为这些学生提供最有效的教学支持，但如何在提供个体化教学帮助和满足国家统一教育标准之间找到平衡，成为了需要被解决的问题。,玛丽。玛丽是一名经验丰富的教学顾问，她对学生的需求深感同情，致力于创造一个有利于每个学生学习成长的环境,主张为每个学生提供个性化的教学支持，即使这可能会对教师增加更多工作量，也可能无法完全满足国家统一的教育标准要求。,约翰。约翰是一名校长，他希望学校能达到优秀的教学效果，使学校在地区内的排名上升，以此提升他的职业成功感,主张应该坚持国家统一的教育标准，通过大量统一的模考和训练来提高学生的成绩，即使这可能对一些存在学习障碍的学生来说可能会有所困扰。,同事,3,15
教育/培训/学校/校园,教学方法决定,传统,自我导向,在确定教学方法时，教师可能会在尊重和坚持传统教学法（传统）和尝试新的个人化的教学法（自我导向）之间产生冲突,某中学正在更新教学方法，以适应网络科技的发展和学生的个性化需求。教学方法的改变是为了让学生更好地理解和掌握知识，同时也把握学生的学习方式和进度。然而，这次的变动引起了学校中两位教师的分歧：一方坚持遵循传统的课堂讲解方式，另一方则主张采用新的、创新的在线互动学习方式。,张老师，一位有着二十多年教龄的资深教师，他严谨认真，吃苦耐劳，始终坚持用传统的教学方式进行教学。他认为这样才能保证教学质量，并且能让学生掌握真正的知识,坚决反对更新教学方法，认为传统的面对面授课方式是最有效的，它可以实时解决学生的疑惑，同时也可以保证教学的质量。,李老师，工作五年的年轻教师，她思维活跃，充满活力，善于利用网络工具进行教学。她认为在科技日新月异的今天，教学方式也应该随之更新，以适应学生的需求,支持更新教学方法，认为应该采用新的、创新的在线互动学习方式。通过网络教学，可以让学生自主掌握学习进度，同时，也可以利用网上丰富的学习资源，拓宽学生的知识面。,同事,3,16
教育/培训/学校/校园,教学方法决定,遵从,刺激,教师可能在遵从到学校规定的教学方法（遵从）与追求新的、刺激的教学方式（刺激）之间产生冲突,在星光学校，老师们正在讨论新学期的教学方法。学校方面希望能有所创新，提升学生的学习兴趣与技能，同时要在保证学生安全的前提下考虑。不过，这也引起了两种不同的观点与决策。,Mr.Smith，他是一名有着20年教龄的老师，对于学校的教学方法有深厚的理解和经验，他始终坚信稳定和传统的教学方式能带给学生最好的学习效果,坚持应按照学校的传统教学方式进行，认为这是最安全和最有效的方式，因为这种方式已经在过去的二十年里证明了其价值。,MissJohnson，她是一名年轻的老师，充满活力和创新精神，希望能给学生带来最新的学习体验，使他们在学习中感到快乐和刺激,提议尝试一些新的教学方法，如使用虚拟现实技术进行实景教学，或者组织一些刺激的实地考察等。,同事,3,17
教育/培训/学校/校园,教学方法决定,安全,享乐主义,教师在保持教学的稳定和规律（安全）与追求个人在教学中的快乐或满足（享乐主义）之间产生冲突,高中物理班级正在决定接下来的教学方法。该班级的物理成绩一直稳定，但是学生们普遍反映课程内容枯燥无趣，难以全面理解。教学发展筹备会议上，出现了争议，一部分教师认为应该依然坚持传统的教学方法，继续保持高考成绩的稳定；另一部分教师认为，应该引入新的教学方法，让学生在享受学习的乐趣的同时，提高对物理知识的理解和掌握。,张老师，教龄20年，是学校的老资格，严谨认真，一直秉持传统的教学方式进行教学,认为传统的教学方法虽然可能相对枯燥，但是成绩一直稳定，这对于学生们的高考是非常重要的，因此，决定坚持现有的教学方法。,李老师，教龄5年，对新事物充满好奇，喜爱探索新的教学方式,认为学习不仅仅是为了考试，更重要的是引导学生发现物理的乐趣，学会自我探索。因此，提议引入一些新的教学方式，比如实验教学、角色扮演教学等，让学生在课堂上有更多参与感和乐趣。,同事,3,18
教育/培训/学校/校园,学习资源分配,成就,大同,在学习资源分配的场景中，一方面，学校可能会倾向于将更多的资源投入到表现优秀的学生身上，提高他们的成就，如为他们提供更多的学习机会、更好的设施等，这体现了对“成就”价值观的追求,学校最近收到了一笔捐赠，此时，校长（角色R1）和教师代表（角色R2）需要一起决定如何分配这部分资金。校长认为应该为优秀的学生提供更多支持，以鼓励他们的表现并提高学校的整体成就；而教师代表则认为应该公平地分配这部分捐赠，提供给所有学生机会，让每一个学生都能从中受益，以此实现社会的公平和大同。,李校长，一个有着多年教育经验的校长，他一直强调追求卓越的教育成果。他认为，学校的目的是培养出能够担当社会精英的学生，这样才能提高学校的声誉和影响力,决定将捐赠资金主要用于奖学金，赞助那些表现出色的学生参加各类学术活动，以提高学校的成就感和竞争力。,张老师，是教师代表，她拥有一颗赤子之心，坚信每个学生都有他的天赋和优点，需要得到平等的关注和发展机会,认为应该将资金用于改善学校设施或购买教学器材，让所有学生都能得到更好的教育环境和资源，从而实现公平。,同事,3,19
教育/培训/学校/校园,学习资源分配,安全,刺激,在教育环境中，教育工作者为了保证学生的“安全”，可能倾向于采用传统、经过实践验证过的教育模式和方法,某高级中学的学校管理层需要决定，是继续沿用传统的教育模式，配备纸质教材和传统课后辅导教材为主导，还是应引入现代化的数字教材，投资更新设施，如电脑和智能白板，并且引入最新的在线教学平台。决策的背景是学校教育资源有限，不能同时满足两种模式，需要选择其一。决策的目的是为了给学生提供最优质的学习资源。决策带来的分歧在于，一方面，传统模式已经得到过时间的检验，安全可靠；另一方面，现代化的学习方式更具有刺激性，能激发学生的学习兴趣。,玛丽，是这所高级中学的校长。她是一个非常注重传统，认为安全和稳定是教育最重要的元素的人,决定学校应坚持使用传统的教育模式，配备纸质教材和传统课后辅导教材，因为这种模式已经经过历史的测试，被大多数人接受和认可。,约翰，是这所高级中学的副校长，也是一个积极推动教育改革的人。他认为，现代化的教育模式能够更好地激发学生的学习兴趣，提高学生的学习效率,决定学校应当引入数字教材，投资更新设施，如电脑和智能白板，并引入最新的在线教学平台，以此来提高学生的学习效率，激发学生的学习兴趣。,同事,3,20
教育/培训/学校/校园,学习资源分配,权力,慈善,在学校环境中，校方可能需要行使他们的“权力”来决定学习资源的分配,在一所高级中学里，一批新的学习设备，包括计算机、书籍和实验设备，需要被分配到各个科目。这些资源的分配将直接影响到学生的学习质量和教师的教学效果。由于资源有限，决策如何分配成了一项重要任务。决策的目的是为了让每一个科目能够得到公平的分配，但分配的意见却产生了分歧。实用主义者认为应该优先分配给那些能直接影响学生未来职业发展的科目，例如数学和科学。而人文主义者则认为这些资源应该均匀分配，以便所有的科目和学生都能受益。,Mr.Black，他是一位有经验的学校行政管理人员。他是个实用主义者，认为应优先考虑学生的未来发展，因此倾向于将资源分配给那些直接关系到学生未来发展的科目，如数学和科学,决定优先将资源分配给数学科和科学科，而其他科目如艺术和社会科学会得到较少的分配。,Mrs.Green，她是一位教育专家和儿童心理学家。她关心所有科目对学生全面发展的重要性，认为学校应该提供一个全面、均衡的教育环境,主张将资源等量分配给所有科目，无论那个科目是否直接关系到学生的职业发展，相信每一门科目都能为学生的发展做出独特的贡献。,同事,3,21
教育/培训/学校/校园,学习资源分配,自我导向,遵从,在学习过程中，学生们可能会追求“自我导向”，希望能够按照自己的兴趣和方式来学习,小学六年级即将升入初中，学校决定将一批新的学习资源，包括图书、电子资源等进行分配。分配的目的是为了提高学生们的学习效果和引导他们对未来的学习有一个清晰的规划。然而，决策过程中出现了两种截然不同的观点，一部分人认为应该按照学生的个人兴趣和特长来分配，另一部分人则认为应该按照课程需求和教育标准来分配。,张浩，张浩是一名10岁的六年级学生，自我导向的思考方式十分明显，他有着自己的学习兴趣和方法，乐于探索新知识，希望能够自主决定自己的学习方式,希望学校在分配学习资源时，能够考虑到每个学生的兴趣和特长，比如自己对于历史和文学的喜爱，所以希望能够得到更多的相关书籍和电子资源。,王老师，王老师是一名教育经验丰富的老师，注重教学规范和要求，认为应该先满足课程需求，再考虑学生的个人兴趣,认为学校在分配资源时应该优先满足课程需求，使所有学生都能达到教育标准，再根据剩余的资源考虑学生的个人兴趣。,师生,3,22
教育/培训/学校/校园,校园设施改善,大同,成就,在决定如何改善校园设施时，可能会遇到要提倡全体福利（大同）还是强调个别学生的优秀表现（成就）的冲突,学校有一笔预算用于改善校园设施，这笔预算可以用于建造一个新的学生活动中心，也可以用于奖励优秀学生，为他们提供更优质的学习资源，如设备升级、单独的学习空间等。这个决策引起了两位校长的分歧。,Sarah，她是现任校长，对整体学生的福利有较深的关注,决定使用这笔预算建立一个新的学生活动中心，为所有的学生提供一个可以进行社交、学习和放松的地方。,John，他是前任校长，当前为教育顾问，对提高学校的整体声望和影响力有较高的追求,主张应该用这笔资金奖励优秀的学生，为他们提供更优质的学习资源，以此提高学校的名声和吸引更多的优秀学生。,Sarah是John的继任者，互相尊重并且经常在教育问题上进行讨论。,3,23
教育/培训/学校/校园,校园设施改善,慈善,自我导向,当校园设施需要改善时，可能会出现要将资金用于帮助那些需要帮助的学生（慈善）还是允许学生自由选择解决问题的方法（自我导向）的冲突,高中校园设施老化，导致一些设施无法正常使用，影响了学生的正常学习和生活。学校决定使用今年的校友捐赠资金进行设施改善。然而，在决策具体如何使用这笔资金时，出现了分歧。学校的目标是改善校园设施，提供良好的学习环境，但对于资金的具体使用方向和方式，学校领导和学生代表产生了争议。,马丽，学校的校长。马丽认为学校是学生的第二个家，学生的福利和学习环境应该是学校工作的首要任务,决定将全部资金用于改善最紧急的设施问题，比如修复损坏的教室，升级老旧的电脑设备，以便改善学生的学习环境，保障学生的权益。,张伟，学生会的主席。张伟是一位积极进取，富有创新精神的学生，他凭借自我导向的价值观成为了学生会的主席,提议将部分资金用于设施改善，剩余的资金则用来推动学生自己参与到设施改善的具体行动中，比如开展公益活动，鼓励学生提出并实施他们自己的改善方案。,张伟是马丽的学生，同时也是学校的学生代表。,3,24
教育/培训/学校/校园,校园设施改善,权力,遵从,在决定改善哪些设施时，可能会出现是否应该由权力较大的团体和个人来决定（权力），还是遵循大众的期望和需求（遵从）的冲突,学校即将进行大规模的校园设施改善工作，预算充足，所有的设施都有可能进行升级或者改变。但是，在决定何种设施需要改进或升级的问题上，各方意见不一。尤其在体育设施和图书馆设施改善的优先级上，师生之间产生了较大分歧。,校长John，他是一位富有经验和智慧的领导者，对于学校的发展和未来有着长远的规划。他有很强的控制欲和权力意识，更倾向于按照自己的想法和计划来进行决策,认为学校的体育设施应当优先升级和改善。认为强健的体魄是人生的基础，只有身体强壮的学生才能更好的学习和生活。同时，这也能提升学校的声誉和地位，吸引更多优秀的学生。,图书馆馆长Emily，她是一位热爱知识、尊重规则和建设性的人，她致力于为学生提供良好的学术环境。她总是倾听学生的需求，并通过图书馆来满足学生的知识需求,认为图书馆设施的改善和升级应当被优先考虑。认为知识是学生未来发展的基础，只有充满知识的学生才能更好的面对生活的挑战。同时，这也体现了学校对知识的尊重和追求，符合学校的教育宗旨。,同事,3,25
教育/培训/学校/校园,校园设施改善,刺激,安全,在改善校园设施时，可能会出现是否应提供更刺激、新奇的设施（刺激），还是更重视设施的安全性和稳定性（安全）的冲突,近期，本校决定对运动场地进行重大的设施改善。改善的目的是为了满足学生们更多元化的运动需求，同时也提升校园的运动设施。由于提出了两种截然不同的改善方案：一是建设一个有许多新奇、挑战性运动项目的主题运动公园，如攀岩、溜冰等；二是对现有的运动设施（如篮球场、跑道等）进行升级改善，保证设施的安全性、稳定性，这使得决策出现了分歧。,黄益民，体育教师，年轻有活力，喜欢尝试新鲜事物，具有冒险精神,认为应该选择建设新奇、挑战性的主题运动公园，这将使校园更加生动有趣，同时也能提高学生的参与度，满足学生们追求刺激的心理需求。,李瑛，家长代表，注重实用性和安全性，认为基础设施的稳定性和安全性是重中之重,更倾向于对现有的运动设施进行升级改善，认为安全是最重要的，而且，升级改善不仅能确保孩子们的安全，也能满足他们日常的运动需求。,教师和学生家长,3,26
教育/培训/学校/校园,校园设施改善,享乐主义,传统,在提供改善校园设施的方法时，可能会出现是否应引入更多能提供个人快乐的设施（享乐主义），还是坚持原有的传统和惯例（传统）,由于近年来吸引更多新生入学，大学打算对校园设施进行改善。这个决策的目的是适应现代学生的需求，同时提高学校的吸引力。然而，在决策的过程中，关于何种改善方式更合适的问题产生了分歧。,Tom，Tom是校园设施改善项目的负责人，他是一个富有创新精神和活力的年轻人，致力于创造一个令学生开心、充满乐趣的校园环境,建议在校园中增加更多娱乐设施，比如电影院、健身房，甚至一个游泳池。认为这些设施将使学生们的课余生活更加丰富多彩，满足他们的个人需求，让他们在校园生活中感到快乐、满足。,Jane，Jane是校园设施改善项目的顾问，是一位有着丰富教育经验的长者。她尊重学校的历史和传统，强调以教育为导向的校园设施,认为应该更加注重教育设施的改善，比如图书馆的扩建，科学实验室的升级改造，或者增加更多的教室和会议室等。认为这样才能提高教育环境，使学生能专心学习，提升他们的学术水平。,同事,3,27
