domain,theme,value1,value2,brief introduction,scene,role1,D1,role2,D2,relation,conflict_level,id,
婚姻/夫妻/恋爱/亲密关系,婚礼计划,权力,慈善,如果一方更关注婚礼的豪华程度和社会地位的展示（权力），而另一方希望将婚礼预算用于帮助需要的人（慈善），这可能会引起冲突,宋明和王雅正在策划他们的婚礼。这场婚礼对他们来说意义重大，他们希望通过婚礼来庆祝他们的爱情，并向全世界宣布他们的承诺。但是，在婚礼的规模和费用的问题上，他们产生了分歧。宋明认为婚礼应该有声有色，体现他们的地位和财富，而王雅却希望将婚礼的预算用于做善事，帮助那些需要帮助的人。,宋明，一个富有的商业精英，通过自己的努力和才智，在短短几年内赚得了一笔小财。他热爱挑战，对成功有着强烈的欲望，并且喜欢展示自己的成就,决定举办一场豪华的婚礼，邀请所有的朋友和商业伙伴，这样可以展示自己的社会地位和财富。,王雅，一个温柔善良的女性，一直活跃在各类公益活动中。她对物质生活的需求并不高，更喜欢将能力和资源用在帮助那些需要帮助的人上,希望将婚礼的预算尽可能地压低，并将节省下来的钱捐给慈善机构，用于帮助那些需要帮助的人。,朋友,3,11,
婚姻/夫妻/恋爱/亲密关系,婚礼计划,安全,刺激,一方可能希望婚礼稳定顺利，避免任何可能带来的风险（安全），而另一方可能喜欢挑战和新奇的体验，比如在海外举行婚礼或策划一些惊喜（刺激），这可能会带来冲突,Emily和Jack即将结婚，他们正在计划婚礼的细节。Emily希望举办一个传统而稳定的婚礼，伴随着家人和朋友的祝福，一切都在预期中进行。而Jack却想要在海滩上举办一个露天的婚礼，更希望能在双方家庭中制造一些互动环节，甚至是游戏和挑战，让婚礼更加有趣刺激。这导致他们在婚礼计划上产生了分歧。,Emily，有着深厚的家庭情感，喜欢稳定的生活，注重家庭的和谐稳定，不善于应对突发事件。她希望婚礼是一场完美无瑕的庆典，所有事情都按照计划进行,坚持在家乡举办一个传统的婚礼，按照既定的流程进行，确保一切都在控制之中，避免任何可能的风险和突发情况。,Jack，热爱冒险和新奇的事物，善于接受挑战，积极乐观，富有创造性，喜欢与人交往和互动。他希望婚礼更具有个性和新颖性，充满活力和乐趣,希望尝试在海滩上举行婚礼，并计划了一些游戏和挑战环节，希望能在婚礼上给大家带来惊喜和快乐。,恋人,3,12,
婚姻/夫妻/恋爱/亲密关系,婚礼计划,享乐主义,遵从,如果新人希望通过举办一场大型派对来享受婚礼（享乐主义），这可能会与那些期望他们举办一个庄重和礼貌的婚礼的家庭成员的期待（遵从）产生冲突,新婚夫妇Alice和Bob准备策划他们的婚礼。Alice想要一个大型的华丽派对，充满了音乐和舞蹈，以此来庆祝他们的大日子。而Bob则更愿意举行一个简单而庄重的仪式，他认为这样可以尊重家庭传统，更符合他们家族人的期待。,Alice，一个热爱生活，热情开朗的新娘，善于沟通和社交，期待着一个她自己心目中的理想婚礼,决定要一场大型的婚礼派对，希望能让所有的亲友在这个特殊的日子里感受到快乐和欢乐，一起分享这份喜悦。,Bob，一个传统而内敛的新郎，他比较重视家庭传统和规矩，觉得婚礼应该是一个庄重而神圣的仪式,坚持要一个简单而有内涵的婚礼，希望婚礼可以尊重和继承家族的传统，同时也得到家人的理解和认同。,Alice和Bob是即将步入婚姻殿堂的新人，他们都在为他们的婚礼做着策划和准备。,3,13,
婚姻/夫妻/恋爱/亲密关系,冲突解决方法,享乐主义,传统,在一个关系中，一方可能追求个人的快乐或感官满足，比如经常出去玩，消费，享乐，然而，这可能与另一方对于责任的重视发生冲突，例如需要节俭，照顾家庭，对未来的规划等,夫妻两人都是公司职员，他们共同销售一套房子的问题已经讨论了很久。在这个决策中，他们的主要冲突是如何使用从销售房子中获得的利润。他们需要决定是继续享受生活，如经常出去旅行，购买一辆新车，还是按传统方式，将这笔钱存入银行，为家庭和孩子的未来提供保障。,John。John是一个乐观主义者，他认为生活就是要享受，我们应该尽可能地体验和享受生活中的每一刻,提议他们应该用这笔钱去旅行，购买一辆新车，享受生活，认为这就是生活的意义所在。,Susan。Susan是一个传统的女性，她认为家庭和将来的安全是最重要的，她更关心家庭和孩子的未来,将这笔钱存入银行，为家庭和孩子的未来提供保障，而不是现在就挥霍掉。,夫妻,3,14,
婚姻/夫妻/恋爱/亲密关系,冲突解决方法,成就,大同,一方可能重视社会地位和个人成功，比如升职加薪，或者开创事业，实现自我价值,一个环保非营利组织邀请了一对夫妻一起参加在南极的考察活动，期望他们能够在那里研究气候变化的影响并撰写相关报告，这项任务虽然看起来富有挑战性且有理想主义的色彩，但在经济上并无任何收益，甚至会耽误他们各自事业的进展。夫妻二人需要决定是否接受这个任务。,是John，一个野心勃勃的企业家，一直在追求他的事业成功，努力提升自己的社会地位和权威，对于任何可能阻碍他职业晋升和企业发展的事项都会持保留态度,认为这项任务会让自己与公司脱节，耽误事业发展，因此决定拒绝这个任务。,Sarah，一个热心的环保人士，经常参加各种环保活动，并尽自己所能推广对地球友好的生活方式，她相信保护环境和追求全球福祉比个人成就更重要,认为这是一个极好的机会，能够直接参与并理解气候变化的影响，尽管没有经济收益，但决定接受这个任务。,夫妻,3,15,
婚姻/夫妻/恋爱/亲密关系,冲突解决方法,自我导向,遵从,一方可能强调个人的独立，自由，选择自己的生活方式和追求，这可能与另一方对社会规范和传统的尊重产生冲突，后者可能认为应该遵从传统的角色分工，保持现状，服从规则,Jessie和Tom是一对已经结婚五年的夫妻，两人都是在IT行业工作，工作繁忙，压力大。Jessie被公司提供了一个在国外工作的机会，这对她的职业发展非常有帮助。而Tom则因为公司的项目需要，要一直在国内工作。这就要求两人需要暂时分开生活一段时间，这让两人都面临一个抉择，Jessie去国外工作将对她的事业有极大的帮助，但也意味着他们夫妻俩可能要在不同的国家生活一段时间，这对他们的婚姻可能会带来一些影响。,Jessie，她是一个独立、有主见、在职场上表现出色的女性,尽管非常珍视的婚姻，但认为自己的职业发展也非常重要，相信他们的感情能够经得住这个考验，所以决定接受公司的提议，去国外工作。,Tom，他是一个比较传统的男性，对家庭有着深深的依赖和承诺，他觉得家庭应该是他生活的重心,担心分居两地会对他们的婚姻产生负面影响，希望Jessie能考虑放弃这次的机会，留在国内同自己一同生活，维系两人的婚姻。,夫妻,3,16,
婚姻/夫妻/恋爱/亲密关系,冲突解决方法,刺激,安全,一方可能喜欢新鲜的、刺激的生活，比如经常换工作，换居住地，追求刺激和冒险,Blake和Sophia已经结婚有几年了，他们是完全相反的价值观体系。Blake是一名冒险家，他的工作是拍摄野生动物和自然环境，经常需要他到世界各地甚至一些危险的地方。而Sophia则是一名医生，在本地的医院有稳定的工作。最近，Blake收到了一个任务，需要他去亚马逊雨林拍摄最新的纪录片，这项任务充满了刺激和挑战，但也有很大的危险性。Blake非常兴奋，但Sophia则担心他的安全。,Blake，热爱冒险和挑战的自然摄影师,决定接受这个任务，去亚马逊雨林拍摄纪录片。认为这是一个难得的机会，能带来刺激和成就感。,Sophia，稳重的，注重安全的医生,建议Blake拒绝这个任务，认为他的安全是最重要的。担心亚马逊雨林的危险环境会对Blake造成威胁。,夫妻,3,17,
婚姻/夫妻/恋爱/亲密关系,冲突解决方法,权力,慈善,一方可能追求社会地位、声望或对他人的控制，这可能与另一方的慈善价值观相冲突，后者可能更关注为他人提供帮助、提高他人福利而非追求个人的权力或控制,一对婚后的夫妇正在争论他们的子女的教育问题。他们的子女即将进入高中，需要选择是继续在公立学校接受教育，还是转到私立学校。这个决策的目的是为了给他们的子女提供最好的教育环境，但这个决策带来了分歧，因为每个人的价值观不同，对于什么是最好的教育环境有不同的看法。,Robert。一个在社区里享有声望的商人，他个性强烈，习惯于控制自己的生活，对社会地位极度看重,认为寄宿私立学校可以为子女提供更优质的教学和更多的竞争机会，提升他们的社会地位和未来的成功机会，因此强烈倾向于将子女送去私立学校。,Mary。一个深深关心家庭福利的母亲，她善良、关怀他人，对社会公正有着深厚的热爱,认为公立学校的教育环境更加公平，能让孩子们学会欣赏社会的多元化，培养他们的同理心和公正感。主张子女应该继续在公立学校学习。,夫妻,3,18,
婚姻/夫妻/恋爱/亲密关系,夫妻分工协作,成就,慈善,一方可能更看重个人的成功和成就，这可能涉及到花费大量的时间在工作上，而另一方可能更看重对家庭成员的关照和照顾，这将需要有人在家里有更多的时间,夫妻二人的公司都提供了一个升职的机会，这对他们来说是一次很好的成就提升。然而，如果两者都接受升职，那么他们需要花费更多的时间在工作上，可能无法顾及到孩子和家庭的需要。他们需要决定如何在夫妻分工协作上达成共识。,Tom，是一个典型的职场人，他热爱他的工作，他总是渴望有更好的机会来证明自己的价值,接受这次的升职机会，想通过这个机会来实现在职场上的成功和成就。认为可以调整自己的时间，早些时候到公司，然后晚些时候回家，以便能有足够的时间来照顾家庭。,Linda，是一个充满爱心的妈妈，她非常在乎家庭和孩子的福利。她也同样热爱她的工作，但与Tom不同的是，她认为家庭是最重要的,放弃这次的升职机会，在家里待的时间更长一些，确保孩子得到足够的关爱和照顾。认为这是对家庭的责任，同时也是对自己的慈善。,夫妻,3,19,
婚姻/夫妻/恋爱/亲密关系,夫妻分工协作,大同,传统,在夫妻分工的问题上，一方可能更倾向于遵循传统的角色划分，比如男性作为家庭的经济支柱，女性作为照顾家庭的角色,Tom和Lily是一对新婚夫妻，他们都在一家大公司工作。作为一对新婚的夫妻，他们开始考虑该如何分配家务的问题。Tom提出希望同时进行工作和家务以达到平等，而Lily则认为应遵循传统的方式男主外，女主内。他们为此产生了分歧。,Tom，他是一位热爱自由与创新，主张性别平等的先锋人物,建议他们应该打破传统的角色定位。认为应该平分家务，以实现真正的性别平等。愿意购买一些技术产品来帮助他们更高效地完成家务，更提议制定一个家务分工表，以保证公平。,Lily，她是一位传统的女性，认为女性在家庭生活中应该承担更多的责任,遵循传统的方式，男性主要负责家庭的经济来源，而女性主要负责照顾家庭和孩子，包括做饭、洗衣、打扫房子等家务事项。愿意承担大部分的家务。,夫妻,3,20,
婚姻/夫妻/恋爱/亲密关系,夫妻分工协作,享乐主义,传统,一方可能更倾向于追求个人的快乐和满足，这可能包括花费时间在个人的爱好和兴趣上，而另一方可能更看重家庭的稳定和安全，这可能需要双方都承担起家庭的责任,夫妻两人都是全职工作者，他们都很忙，有很少的闲暇时间。他们面临一个决策：是应该把家务事分配给一个人完成，让另一个人有更多的自由时间做自己喜欢的事情，还是共享这些任务，每个人都有一些自由时间？这个决策的目的是找到一个公平和满意的家务分工方式。但这个决策带来了分歧，他们在价值观上有冲突，一个人更看重享乐主义，而另一个人更偏向于传统。,Tom，他是一位对生活充满热情的人，喜欢尝试新的事物，享受生活。在他看来，生活不仅仅是工作，还有更多的乐趣等待他去发掘。他喜欢旅行，喜欢音乐、电影和阅读。他希望有更多的时间去享受这些快乐,认为应该有更多的时间来享受生活，决定让妻子承担更多的家务工作。,Jane，她是一个很传统的女人，认为家务事是夫妻双方共同的责任。她认为这样可以让夫妻关系更加和谐，更能体现出夫妻之间的携手同行,坚持认为家务事应该由他们两个人共同分担，不同意Tom的决定，认为他们应该共享家务工作。,夫妻,3,21,
婚姻/夫妻/恋爱/亲密关系,夫妻分工协作,权力,大同,一方可能更看重家庭中的地位和权力，这可能涉及到在决策中拥有更多的话语权，而另一方可能更看重公平和公正，这可能要求双方在家庭决策中都能有平等的权力,Tom和Lucy是一对已婚夫妇，他们正在决定家里的日常分工和责任。小孩的教育问题，家务的分配，以及购物的责任等问题，都需要他们共同来协商和决定。他们都想要家庭的和谐和幸福，但对于这些决策应当如何实施，他们却有着不同的看法。,Tom，Tom是一个公司的中高层经理，经常需要处理很多公司的事务，对于权力和控制非常看重,认为由于自己对于公司的事务有更多的了解和处理经验，自己应该在小孩的教育问题、家务的分配以及购物的责任等问题上有更多的话语权。,Lucy，Lucy是一个社工，一直倡导公平正义，并且在实践中不断努力。对于所有人的福利非常看重,认为每个家庭成员都应该平等地参与到决策中，每个人的意愿和建议都应该被平等地考虑，而不应该只有一个人主导决策。对于家庭中的各项事务，每个人都应该有责任参与和贡献。,夫妻,3,22,
婚姻/夫妻/恋爱/亲密关系,夫妻分工协作,安全,刺激,一方可能更看重稳定的生活，包括规律的工作时间和稳定的经济收入，而另一方可能更喜欢激动人心的生活，包括冒险的职业和不稳定的工作时间,夫妻二人都在北京一家大公司工作，因为疫情的原因，公司决定让员工选择在家远程工作或者在公司办公。决策的目的在于能更好的满足员工的工作需求，同时也能保证公司的经营。这个决策带来的分歧在于，弗兰克更看重家庭的稳定和安全，他认为在家工作可以避免在上下班途中被病毒感染，保证家庭的安全；而艾米丽则认为在公司办公更能得到刺激和挑战，这样可以提升自己的工作能力和社交能力。,弗兰克，一个负责任的父亲和丈夫。他总是把家庭的安全和稳定放在第一位,在家远程工作，以避免在上下班的途中被病毒感染，保证家庭的安全。,艾米丽，一个充满活力的母亲和妻子。她永远充满热情，喜欢接受新的挑战和刺激,选择在公司办公，认为这样可以得到更多的刺激和挑战，同时也能提升自己的工作能力和社交能力。,夫妻,1,23,
婚姻/夫妻/恋爱/亲密关系,养宠物决定,大同,慈善,决定养宠物可能会使人产生两种冲突的价值观,一对夫妻，约瑟夫和艾玛，在一次公园散步时发现了一个流浪狗。这个狗看起来可怜，同时也很友好。约瑟夫和艾玛都有爱心，他们亲近这只狗并决定是否把它带回家。然而，这个决定带来了他们之间的分歧。,约瑟夫，约瑟夫是一位环保主义者，长期从事环保行业。他关心环境，也关心动物的福利。他认为狗是人类的朋友，但同样也是生态系统的一部分,虽然收养这只狗可以立即解决它的问题，但这并不能从根本上解决流浪狗的问题。希望能推动更大范围的社区和政府层面上的改变，来改善所有流浪狗的状况。,艾玛，艾玛是一位社区工作者，她热爱社区，关心社区每一个成员的幸福。她常常为邻居提供帮助，并与他们建立了深厚的感情,希望能够收养这只狗。认为虽然一次性收养一只狗并不能改变所有流浪狗的命运，但对于这只狗来说，能找到一个温暖的家就是一次重生。,夫妻,3,24,
婚姻/夫妻/恋爱/亲密关系,养宠物决定,权力,传统,在一些文化或宗教中，人们可能不赞同或不接受养宠物（传统）,杰克和苏珊是一对新婚夫妇，他们都是独生子女，对婚后的生活有很多期待。近期他们移居到了一个新的社区，这个社区非常友好，对养宠物的家庭有一些优待政策，比如提供专门的宠物公园，和定期的宠物聚会等。杰克非常希望能在这个社区拥有一只属于他们的宠物，他认为养宠物能提升他们在社区的地位和社交圈子的宽度。然而，苏珊的家庭有着严格的传统观念，她的家族从未养过宠物，她认为养宠物并不符合她的家族习惯。,杰克，一位市场营销人员，对社交活动有着热情，希望能在社区中增加影响力,提出养宠物的想法，并准备做好各种筹备工作，以便尽快购买一只适合他们的宠物。,苏珊，一位小学老师，守旧，坚持家族的传统观念，认为生活应当平淡而有序,反对养宠物的决定，认为这不符合自己的家族习惯，并担心会打乱两人的生活规律。,夫妻,3,25,
婚姻/夫妻/恋爱/亲密关系,养宠物决定,安全,刺激,养宠物可以带来新奇和挑战，这种生活方式可能会为人们带来兴奋和乐趣（刺激）,杰克和艾米是一对新婚夫妇，他们正在决定是否需要养一只宠物狗。杰克从小就喜欢狗，他希望有一只宠物狗可以一起玩耍，带给他生活的新奇和挑战。然而，艾米对此表示担忧，她觉得养狗可能会给家庭带来一些安全隐患，比如让家里变得更脏，或者宠物狗咬伤人等问题。,艾米，一位谨慎细心的新婚妻子，她注重生活的安全和稳定,考虑到家庭的安全和清洁，拒绝养宠物狗。,杰克，一位热爱生活，寻求刺激的新婚丈夫，他热爱探索和尝试新事物,认为养宠物狗可以带给他乐趣和新奇，坚持决定要养狗。,夫妻,3,26,
婚姻/夫妻/恋爱/亲密关系,养宠物决定,自我导向,遵从,养宠物可能是一个表达个人独立性和自由选择的方式（自我导向）,两人都是热爱生活，追求快乐的年轻夫妻，他们正在考虑是否要养一只狗狗。这个决定的背景是他们的生活已经安定，希望有些新的变化和挑战。决策的目的是让生活更加充满乐趣和责任。然而，养狗狗的决定带来了分歧，因为他们对于养宠物的看法和期待有所不同。,James，他是一个独立思考，喜欢挑战和探索的人。对于他来说，养宠物是体现个人独立性和自由选择的方法,坚决支持家里养狗狗，希望有新的挑战和变化，认为这是一种自我实现和自我选择的方式。,Lily，她是一个遵守规则，比较守旧和保守的人。她喜欢稳定的生活，不喜欢有太多的变化。对于她来说，养宠物意味着要改变现有的生活模式和适应新环境的压力,反对养狗狗，担心养狗狗会打乱现有的生活模式，增加生活压力，认为应该遵守当前的生活规则。,夫妻,3,27,
婚姻/夫妻/恋爱/亲密关系,养宠物决定,享乐主义,成就,养宠物可以带来个人的快乐和感官满足（享乐主义），但同时也可能影响到个人的职业发展或其他领域的成功（成就），因为它可能要求投入大量的时间和精力,一对新婚夫妇，萨莉和杰克，正在决定是否养一只宠物狗。他们住在一个允许宠物的公寓里，但都拥有全职的工作。萨莉作为一名儿童心理咨询师，她的工作相对灵活，能够更好的照顾宠物。而杰克则是一名忙碌的企业律师，常常需要工作到很晚。萨莉希望养一只小狗，认为这对他们的生活将带来乐趣和欢乐。而杰克则担心养宠物会影响他的工作表现和他在事业上的成就。,萨莉，一个充满爱心和善良的儿童心理咨询师。她热爱生活，喜欢与人和动物保持亲密接触。她认为生活中的乐趣和满足感来源于生活的日常瞬间，如陪伴家人和朋友，或者与宠物玩耍,坚持要养一只小狗，认为这会为生活增添乐趣和欢乐，以及帮助自己松解工作的压力。,杰克，一名职业道路明确，工作认真的企业律师。他追求个人的职业成功，并且希望他的工作能得到社会的认可和尊重。他相信成功需要付出努力和时间，因此他对可能会干扰他工作的事物总是持谨慎态度,反对养小狗的决定，担心养宠物的责任会影响他的工作，从而妨碍自己在事业上的成功和成就。,夫妻,3,28,
婚姻/夫妻/恋爱/亲密关系,情绪管理策略,享乐主义,自我导向,个人的快乐或感官上的满足可能会导致过度的自我放纵，而这与追求思想和行为独立的自我导向产生冲突,新冠疫情的影响使得大部分人都在家工作，加之负面新闻的不断，导致了人们的情绪出现波动。在这个背景下，夫妻二人需要决定如何管理自己的情绪，以应对这个独特的时期。决策的目的是为了保持良好的精神状态，减轻压力，保持家庭的和谐。但是，他们在如何管理情绪上有些分歧，具体表现在是否应该通过享乐来缓解压力。,丽丽。丽丽是一个喜欢享受生活的人，总是用乐观的态度看待生活。在这个特殊时期，她觉得应该通过享乐来释放压力，例如烘焙、看喜剧电影、享受美食等,决定在工作之余尽情享乐，通过积极的方式来缓解压力，例如做一些自己喜欢的事情，来保持一个良好的精神状态。,明明。明明是一个理性的人，总是认为应该通过自我控制来管理情绪。在这个特殊时期，他认为规律的生活，自我调适是应对压力的方式，如适当的运动、冥想等,决定遵循自己的日常规律，进行适量的运动，进行冥想，规律的作息，以此来调整和保持自己的情绪。,夫妻,1,29,
